landing_page,channel,sessions,conversions,bounce_rate,avg_duration,cvr
/sign-in,Direct,52906,22,0.02152874910218123,337.4996242006389,0.00041583185271991835
/more-balance?utm_gateway=thrive,Display,25992,0,0.046822099107417664,207.62473180386272,0.0
/more-wellness?utm_gateway=thrive,Display,21500,0,0.045209302325581395,242.4671341764651,0.0
/data-exposure-removal?int=h&mktp=google&c1=22571430648&c2=188156642051&utm_gateway=,Cross-network,14884,5,0.007054555227089492,258.9976581312819,0.0003359312012899758
/,Direct,13221,139,0.019590046138718707,434.0699862613267,0.0105135768852583
/forgot-password,Direct,9481,2,0.005379179411454488,154.1110894953064,0.00021094821221390148
/,Organic Search,8537,152,0.006208269884034204,447.8162285761978,0.017804849478739605
/sign-in,Organic Search,8531,15,0.01629351775876216,662.5837276363849,0.0017582932833196576
/finances/credit,Direct,5115,0,0.012512218963831867,142.60880797282502,0.0
/better-protection?mktp=google&c1=19665933250&c2=144595646143,Paid Search,4056,170,0.01257396449704142,520.992343155572,0.041913214990138066
/s/,Direct,3775,0,0.026490066225165563,286.9231590617219,0.0
(not set),Unassigned,3357,2,0.9183795055108728,72.94531367143283,0.0005957700327673518
(not set),Direct,3334,0,0.9622075584883023,57.634858502399524,0.0
/sign-in,Unassigned,3161,2,0.1505852578298007,538.3876304618791,0.0006327111673521037
(not set),Organic Search,3053,0,0.9561087454962333,32.54175525777923,0.0
/better-protection?mktp=google&c1=21277047044&c2=&utm_gateway=,Cross-network,2922,4,0.1375770020533881,124.46939207563314,0.0013689253935660506
/data-exposure-removal?mktp=google&c1=22571430648&c2=188156642051&utm_gateway=,Cross-network,2656,0,0.00677710843373494,196.90049460881025,0.0
/sign-in,Paid Search,2620,5,0.046946564885496186,530.497086809542,0.0019083969465648854
/,Referral,2555,8,0.0027397260273972603,1854.9261470309198,0.0031311154598825833
/safety-personalization-quiz-d2p?mktp=google&c1=19665933250&c2=144595646143,Paid Search,2518,94,0.017077045274027005,463.7736701239079,0.03733121525019857
/hacked?mktp=google&c1=21277047044&c2=&utm_gateway=,Cross-network,2512,42,0.06568471337579618,96.99189001552548,0.016719745222929936
/hacked?mktp=google&c1=19982067071&c2=180413080281,Paid Search,2419,67,0.024803637866887142,167.36939766639105,0.027697395618023975
/privacy-savings?mktp=google&c1=19851773274&c2=173090630086&utm_gateway=privacy,Paid Search,2289,91,0.049366535605067714,191.74315345609438,0.039755351681957186
/verification/thank-you,Direct,2287,0,0.05378224748578924,315.9729860830783,0.0
/ad-blocker?mktp=google&c1=19982067071&c2=181602531721&utm_gateway=adblocker,Paid Search,2281,51,0.023235423060061378,125.47843751863219,0.02235861464270057
(not set),Paid Search,2043,1,0.9255996084189917,23.66096840969163,0.0004894762604013706
/hacked?mktp=google&c1=19982067071&c2=152920122433,Paid Search,1703,46,0.022313564298297124,186.44979651790956,0.02701115678214915
/account/membership,Direct,1587,1,0.005671077504725898,242.3845211184625,0.000630119722747322
/pricing,Direct,1403,39,0.020669992872416252,399.1950828745546,0.027797576621525304
/hacked?mktp=google&c1=19982067071&c2=180413080241,Paid Search,1273,53,0.021209740769835034,256.21291522623727,0.041633935585231735
