campaign,source,medium,sessions,conversions,revenue,engagement_rate,cvr
(direct),(direct),(none),127207,644,63254.73,0.9548766970371128,0.005062614478762962
(organic),google,organic,46701,313,47540.21,0.9384595618937496,0.00670221194406972
life360-doomscroll,life360,display,22932,1,2.99,0.938949938949939,4.360718646432932e-05
life360-work,life360,display,21938,1,2.99,0.9393746011486918,4.5583006655118975e-05
GG_Aura_Search_NB_General,google,cpc,21829,483,39336.600000000006,0.9687571579092034,0.022126528929405836
GG_Aura_DemandGen_Sandbox,google,cpc,19511,14,1316.88,0.9644815744964379,0.000717543949566911
GG_Aura_Search_Brand,google,cpc,18109,621,76811.63,0.9404715887127948,0.03429234082500414
av-intro,top10,ir_affiliate,10026,567,47116.259999999995,0.9736684619988031,0.05655296229802514
(organic),bing,organic,6990,33,4580.719999999999,0.9324749642346208,0.004721030042918455
GG_Aura_PerformanceMax_NB,google,cpc,6848,60,5194.2300000000005,0.8825934579439252,0.008761682242990653
(not set),influencelogic,influencer,6369,253,28669.870000000003,0.8913487203642644,0.039723661485319514
(referral),influencelogic,influencer,6281,215,24124.0,0.929788250278618,0.03423021811813406
lal_currentcustomers1,facebook,paidsocial,6225,160,14708.4,0.9659437751004016,0.02570281124497992
GG_Aura_Search_Competitors,google,cpc,6102,226,19654.23,0.9201901016060308,0.037037037037037035
(referral),idpr,ir_affiliate,4988,214,23716.789999999997,0.9430633520449078,0.04290296712109062
balance_parentingpressure_osaw,facebook,paidsocial,4804,9,762.93,0.8713572023313905,0.0018734388009991674
506111763,bing,cpc,4678,27,2056.7,0.9587430525865754,0.005771697306541257
506069991,bing,cpc,4179,151,19649.300000000003,0.9327590332615459,0.03613304618329744
(referral),top10,ir_affiliate,3795,246,24694.749999999996,0.9428194993412384,0.06482213438735178
life360-boundries,life360,display,3535,0,0.0,0.9207920792079208,0.0
rmk_sitevisitors,facebook,paidsocial,3476,33,2879.67,0.939873417721519,0.00949367088607595
(referral),aura004.lightning.force.com,referral,3170,0,0.0,0.9589905362776026,0.0
av-intro,moonshot,ir_affiliate,2885,172,13521.80062,0.9625649913344887,0.05961871750433276
life360_blendedlal,facebook,paidsocial,2724,47,4053.54,0.961453744493392,0.01725403817914831
GG_Aura_Search_NB_ID_gtwy-idt,google,cpc,2562,99,11043.77,0.9566744730679156,0.03864168618266979
JDI_Impulse_2935383,outbrain,native,2495,167,16692.34,0.9591182364729459,0.06693386773547094
(referral),conadvo,ir_affiliate,2471,184,19359.44,0.9575070821529745,0.0744637798462161
av-intro,conadvo,ir_affiliate,2349,190,15555.14,0.9578544061302682,0.08088548318433376
(not set),71acegroup,ir_affiliate,2347,7,901.99,0.9590967192160205,0.002982530890498509
broad_auratesting2,facebook,paidsocial,2228,39,3299.61,0.9636445242369839,0.017504488330341114
(referral),antivirusguide,ir_affiliate,2133,93,7484.1,0.9681200187529302,0.04360056258790436
lal_currentcustomers5_lowerfunnelftdboo_subscribe,facebook,paidsocial,2088,51,1116.99,0.9861111111111112,0.02442528735632184
(not set),(not set),(not set),2044,34,3035.66,0.0019569471624266144,0.016634050880626222
(organic),yahoo,organic,1771,13,2088.99,0.9497459062676454,0.007340485601355167
(not set),cybernews,ir_affiliate,1763,75,8168.54,0.9302325581395349,0.04254112308564946
(organic),duckduckgo,organic,1747,7,1233.99,0.934745277618775,0.004006868918145392
(not set),modemobile,ir_affiliate,1707,2,396.0,0.8810779144698301,0.0011716461628588166
rmk_sitevisitors_av,facebook,paidsocial,1521,27,2069.73,0.9520052596975674,0.01775147928994083
(referral),buyersguide,ir_affiliate,1481,81,7457.64,0.9318028359216746,0.054692775151924375
balance_teentalk_osaw,facebook,paidsocial,1436,15,890.9200000000001,0.958217270194986,0.010445682451253482
(not set),idpr,ir_affiliate,1357,21,2100.73,0.9086219602063376,0.015475313190862197
av-intro,safetydetectives,ir_affiliate,1316,74,6326.563031,0.9452887537993921,0.05623100303951368
av-intro,wizcase,ir_affiliate,1277,53,3843.48,0.9373531714956931,0.04150352388410337
GG_Aura_Search_NB_gtwy-pc,google,cpc,1212,33,2726.8,0.9174917491749175,0.027227722772277228
GG_Aura_Search_Dynamic,google,cpc,1148,33,3620.21,0.9425087108013938,0.028745644599303136
av-intro,AntivirusReviews,ir_affiliate,1144,66,5522.37,0.9659090909090909,0.057692307692307696
JDI_Impulse_3054205,outbrain,native,1124,72,4924.299999999999,0.9661921708185054,0.06405693950177936
GG_Aura_Search_Brand_gtwy-pc,google,cpc,1047,27,2474.68,0.8901623686723973,0.025787965616045846
(not set),top10,ir_affiliate,1031,15,1256.95,0.8651794374393792,0.014548981571290009
(not set),rocketmoney,ir_affiliate,957,32,2252.0,0.9602925809822361,0.03343782654127482
